id,original_name,new_name,changes_made,status
ultra_fog_lurker,"10000000 Damage","Fog Devastator","Name changed; Biography updated; Attack 'Googleplex 10000 Space' -> 'Void Strike'",complete
b_unc_e_back,"B*unc E Back","Bounce Back","Name changed; Biography updated",complete
double_duty_unlimited_teleportation,"Teleportation Bounce Back Tornado Rainbow Space Growing Black Hole","Cosmic Vortex","Name changed; Biography updated",complete
2_combined_infinite,"2 Combined Infinite","Infinite Duo","Name changed; Biography updated; Attack '1000000000000000000 Damage (crossed out)' -> 'Infinity Burst'",complete
h13253312,"H13253312","Flame Shifter","Name changed; Biography updated",complete
fog_slurper,"Fog Sluuuuuuuuuurp","Fog Slurper","Name changed; Biography updated",complete
beaked_ghost_2_0,"Beaked Ghost 2.0","Spectral Raven","Name changed; Biography updated; Defense 'Bounce Back #5 PG' -> 'Spectral Deflection'",complete
kaya_rey_z_eyes,"Kaya-Rey-Z Eyes","Hypnotic Gaze","Name changed; Biography updated; Attack 'Confuddle and Compoodle...' -> 'Mind Control'; Attack 'Cry Loudly...' -> 'Sonic Wail'",complete
poison_shooter_2,"Poison Shooter","Venomous Pachyderm","Name changed (was duplicate); Biography updated",complete
spike_wall_2,"Spike Wall","Prismatic Barrier","Name changed (was duplicate); Biography updated",complete
saba_nap,"Saba Nap","Grandpa Snore","Name changed; Biography updated; Attack 'Sabababababa Ba Baba Baba Bababa' -> 'Dream Babble'",complete
unnamed_creature_93,"Unnamed Creature 93","Bucket Mech","Name changed; Biography updated",complete
sslithering_snake_poison,"Ssslithering Sssssnake","Slithering Serpent","Name changed; Biography updated",complete
innercore_monster,"Innercore Monster","Innercore Monster","Biography updated; Attack 'Turn Any Monster Card Into Any Other Monster Card' -> 'Transmogrify'",complete
